file_name,training_time(s),result_loss,result_acc
archi_random_1_v,88.100919008255,4.787491798400879,0.0003
archi_random_2_v,36.51428198814392,4.787491798400879,0.0
archi_random_3_v,0,Error,Error
archi_random_4_v,0,Error,Error
archi_random_5_v,0,Error,Error
archi_random_6_v,0,Error,Error
archi_random_7_v,255.29816794395447,5.478751149749756,0.0899
archi_random_8_v,0,Error,Error
archi_random_9_v,0,Error,Error
archi_random_10_v,0,Error,Error
archi_random_1_v,29.886414051055908,2.1078140058517456,0.2107
archi_random_2_v,34.58508658409119,nan,0.098
archi_random_3_v,44.38477873802185,1.8254141145706178,0.3238
archi_random_4_v,31.887645959854126,nan,0.098
archi_random_5_v,36.50174283981323,nan,0.098
archi_random_6_v,35.660905599594116,nan,0.098
archi_random_7_v,46.68024969100952,nan,0.098
archi_random_8_v,53.90085816383362,nan,0.098
archi_random_9_v,31.916714191436768,nan,0.098
archi_random_10_v,21.03989028930664,nan,0.098
archi_random_1_v,48.80044102668762,0.09580338313579559,0.9694
archi_random_2_v,74.76989555358887,nan,0.098
archi_random_3_v,50.353904247283936,nan,0.098
archi_random_4_v,67.17874193191528,nan,0.098
archi_random_5_v,74.89873909950256,nan,0.098
archi_random_6_v,61.36339068412781,0.6802817797660827,0.7711
archi_random_7_v,34.46520709991455,0.22966426121890546,0.9311
archi_random_8_v,48.85626673698425,nan,0.098
archi_random_9_v,56.27714157104492,nan,0.098
archi_random_10_v,29.38018226623535,0.1532185947716236,0.9524
